id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
general-oasis,oasis,,O,empieza,general,general,1,"Lugar con agua y vegetación en medio de un desierto.","Zona fértil aislada en una región árida gracias a la presencia de agua.","Paraje cuya humedad interrumpe la continuidad de un territorio desértico.",Diccionario de la lengua española,https://dle.rae.es/oasis
general-oceano,océano,oceano,O,empieza,general,general,1,"Gran extensión de agua salada que cubre buena parte de la Tierra.","Inmensa masa de agua marina que separa continentes.","Cada una de las mayores divisiones de la hidrosfera terrestre.",Diccionario de la lengua española,https://dle.rae.es/océano
general-oficina,oficina,,O,empieza,general,general,1,"Lugar donde se realizan trabajos administrativos.","Espacio equipado con escritorios en el que trabajan empleados de una organización.","Dependencia destinada al despacho de asuntos profesionales o burocráticos.",Diccionario de la lengua española,https://dle.rae.es/oficina
general-olivo,olivo,,O,empieza,general,general,1,"Árbol cuyo fruto es la aceituna.","Árbol mediterráneo de hojas estrechas del que se obtiene aceite.","Árbol oleáceo perenne cultivado por sus drupas comestibles.",Diccionario de la lengua española,https://dle.rae.es/olivo
general-olla,olla,,O,empieza,general,general,1,"Recipiente usado para cocinar alimentos.","Vasija redonda y profunda que se coloca sobre el fuego para preparar comida.","Utensilio de cocina de boca ancha provisto habitualmente de asas y tapa.",Diccionario de la lengua española,https://dle.rae.es/olla
general-ombligo,ombligo,,O,empieza,general,general,1,"Marca redonda que queda en el abdomen al nacer.","Cicatriz situada en el vientre donde estuvo unido el cordón umbilical.","Depresión abdominal resultante de la separación del neonato y la placenta.",Diccionario de la lengua española,https://dle.rae.es/ombligo
general-orquesta,orquesta,,O,empieza,general,general,1,"Conjunto de músicos que tocan instrumentos bajo la dirección de alguien.","Agrupación instrumental organizada en secciones como cuerda viento y percusión.","Formación numerosa de intérpretes cuya ejecución coordina habitualmente un director.",Diccionario de la lengua española,https://dle.rae.es/orquesta
general-ortiva,ortiva,,O,empieza,general,lunfardo|argentinismo,1,"En Argentina persona antipática o que arruina la diversión.","Voz coloquial argentina aplicada a quien resulta desagradable delata o corta el clima de un grupo.","En el habla popular rioplatense individuo visto como aguafiestas o poco solidario.",Diccionario de la lengua española,https://dle.rae.es/ortiva
general-palacio,palacio,,P,empieza,general,general,1,"Edificio grande y lujoso donde vive un rey o una autoridad.","Residencia monumental asociada con monarcas nobles o gobernantes.","Construcción suntuosa destinada históricamente a albergar una corte o una institución principal.",Diccionario de la lengua española,https://dle.rae.es/palacio
general-paraguas,paraguas,,P,empieza,general,general,1,"Objeto que se abre sobre la cabeza para protegerse de la lluvia.","Utensilio portátil formado por una tela desplegable sostenida por varillas.","Cubierta plegable montada en un bastón que resguarda de las precipitaciones.",Diccionario de la lengua española,https://dle.rae.es/paraguas
general-pared,pared,,P,empieza,general,general,1,"Construcción vertical que separa o cierra espacios.","Superficie de ladrillo piedra u otro material que forma los lados de una habitación.","Elemento arquitectónico plano y vertical que delimita un recinto o sostiene una estructura.",Diccionario de la lengua española,https://dle.rae.es/pared
general-pelota,pelota,,P,empieza,general,general,1,"Objeto redondo usado en muchos juegos y deportes.","Bola elástica o inflada que se lanza golpea o hace rodar al jugar.","Cuerpo generalmente esférico concebido para intervenir como móvil en una actividad lúdica.",Diccionario de la lengua española,https://dle.rae.es/pelota
general-pincel,pincel,,P,empieza,general,general,1,"Instrumento con pelos en la punta usado para pintar.","Utensilio que aplica pintura mediante un manojo de cerdas sujeto a un mango.","Herramienta de artista cuya extremidad flexible retiene y distribuye pigmento.",Diccionario de la lengua española,https://dle.rae.es/pincel
