answer,letter,relation,categories,sourceUrl
fábrica,F,empieza,general,https://dle.rae.es/fábrica
familia,F,empieza,general,https://dle.rae.es/familia
fantasma,F,empieza,general,https://dle.rae.es/fantasma
farmacia,F,empieza,general,https://dle.rae.es/farmacia
faro,F,empieza,general,https://dle.rae.es/faro
fósforo,F,empieza,general,https://dle.rae.es/fósforo
frontera,F,empieza,general,https://dle.rae.es/frontera
facha,F,empieza,lunfardo|argentinismo,https://dle.rae.es/facha
galaxia,G,empieza,general,https://dle.rae.es/galaxia
galería,G,empieza,general,https://dle.rae.es/galería
gallina,G,empieza,general,https://dle.rae.es/gallina
garganta,G,empieza,general,https://dle.rae.es/garganta
girasol,G,empieza,general,https://dle.rae.es/girasol
globo,G,empieza,general,https://dle.rae.es/globo
gil,G,empieza,lunfardo|argentinismo,https://dle.rae.es/gil
guita,G,empieza,lunfardo|argentinismo,https://dle.rae.es/guita
hamaca,H,empieza,general,https://dle.rae.es/hamaca
harina,H,empieza,general,https://dle.rae.es/harina
helado,H,empieza,general,https://dle.rae.es/helado
herramienta,H,empieza,general,https://dle.rae.es/herramienta
hiedra,H,empieza,general,https://dle.rae.es/hiedra
hilo,H,empieza,general,https://dle.rae.es/hilo
hipopótamo,H,empieza,general,https://dle.rae.es/hipopótamo
horizonte,H,empieza,general,https://dle.rae.es/horizonte
idioma,I,empieza,general,https://dle.rae.es/idioma
iglesia,I,empieza,general,https://dle.rae.es/iglesia
imán,I,empieza,general,https://dle.rae.es/imán
incendio,I,empieza,general,https://dle.rae.es/incendio
índice,I,empieza,general,https://dle.rae.es/índice
insecto,I,empieza,general,https://dle.rae.es/insecto
invierno,I,empieza,general,https://dle.rae.es/invierno
isla,I,empieza,general,https://dle.rae.es/isla
jabón,J,empieza,general,https://dle.rae.es/jabón
jardín,J,empieza,general,https://dle.rae.es/jardín
jaula,J,empieza,general,https://dle.rae.es/jaula
jirafa,J,empieza,general,https://dle.rae.es/jirafa
jornada,J,empieza,general,https://dle.rae.es/jornada
juguete,J,empieza,general,https://dle.rae.es/juguete
jermu,J,empieza,lunfardo|argentinismo,https://dle.rae.es/jermu
junar,J,empieza,lunfardo|argentinismo,https://dle.rae.es/junar
laberinto,L,empieza,general,https://dle.rae.es/laberinto
ladrillo,L,empieza,general,https://dle.rae.es/ladrillo
laguna,L,empieza,general,https://dle.rae.es/laguna
lámpara,L,empieza,general,https://dle.rae.es/lámpara
lápiz,L,empieza,general,https://dle.rae.es/lápiz
lechuza,L,empieza,general,https://dle.rae.es/lechuza
laburo,L,empieza,lunfardo|argentinismo,https://dle.rae.es/laburo
linyera,L,empieza,lunfardo|argentinismo,https://dle.rae.es/linyera
madera,M,empieza,general,https://dle.rae.es/madera
maleta,M,empieza,general,https://dle.rae.es/maleta
manzana,M,empieza,general,https://dle.rae.es/manzana
martillo,M,empieza,general,https://dle.rae.es/martillo
mercado,M,empieza,general,https://dle.rae.es/mercado
montaña,M,empieza,general,https://dle.rae.es/montaña
mina,M,empieza,lunfardo|argentinismo,https://dle.rae.es/mina
morfar,M,empieza,lunfardo|argentinismo,https://dle.rae.es/morfar
naranja,N,empieza,general,https://dle.rae.es/naranja
nariz,N,empieza,general,https://dle.rae.es/nariz
naufragio,N,empieza,general,https://dle.rae.es/naufragio
nevera,N,empieza,general,https://dle.rae.es/nevera
niebla,N,empieza,general,https://dle.rae.es/niebla
nido,N,empieza,general,https://dle.rae.es/nido
nogal,N,empieza,general,https://dle.rae.es/nogal
napia,N,empieza,lunfardo|argentinismo,https://dle.rae.es/napia
ñandú,Ñ,empieza,general|argentinismo,https://dle.rae.es/ñandú
ñandutí,Ñ,empieza,argentinismo,https://dle.rae.es/ñandutí
ñapa,Ñ,empieza,americanismo,https://dle.rae.es/ñapa
ñaque,Ñ,empieza,general,https://dle.rae.es/ñaque
ñoñez,Ñ,empieza,general,https://dle.rae.es/ñoñez
ñoqui,Ñ,empieza,general|argentinismo,https://dle.rae.es/ñoqui
ñora,Ñ,empieza,general,https://dle.rae.es/ñora
ñu,Ñ,empieza,general,https://dle.rae.es/ñu
oasis,O,empieza,general,https://dle.rae.es/oasis
océano,O,empieza,general,https://dle.rae.es/océano
oficina,O,empieza,general,https://dle.rae.es/oficina
olivo,O,empieza,general,https://dle.rae.es/olivo
olla,O,empieza,general,https://dle.rae.es/olla
ombligo,O,empieza,general,https://dle.rae.es/ombligo
orquesta,O,empieza,general,https://dle.rae.es/orquesta
ortiva,O,empieza,lunfardo|argentinismo,https://dle.rae.es/ortiva
palacio,P,empieza,general,https://dle.rae.es/palacio
paraguas,P,empieza,general,https://dle.rae.es/paraguas
pared,P,empieza,general,https://dle.rae.es/pared
pelota,P,empieza,general,https://dle.rae.es/pelota
pincel,P,empieza,general,https://dle.rae.es/pincel
puente,P,empieza,general,https://dle.rae.es/puente
pibe,P,empieza,lunfardo|argentinismo,https://dle.rae.es/pibe
piola,P,empieza,lunfardo|argentinismo,https://dle.rae.es/piola
quebrada,Q,empieza,general,https://dle.rae.es/quebrada
queja,Q,empieza,general,https://dle.rae.es/queja
quemadura,Q,empieza,general,https://dle.rae.es/quemadura
queroseno,Q,empieza,general,https://dle.rae.es/queroseno
queso,Q,empieza,general,https://dle.rae.es/queso
quiosco,Q,empieza,general,https://dle.rae.es/quiosco
quipu,Q,empieza,general,https://dle.rae.es/quipu
quilombo,Q,empieza,lunfardo|argentinismo,https://dle.rae.es/quilombo
radar,R,empieza,general,https://dle.rae.es/radar
raíz,R,empieza,general,https://dle.rae.es/raíz
relámpago,R,empieza,general,https://dle.rae.es/relámpago
reloj,R,empieza,general,https://dle.rae.es/reloj
remedio,R,empieza,general,https://dle.rae.es/remedio
rueda,R,empieza,general,https://dle.rae.es/rueda
rumba,R,empieza,general,https://dle.rae.es/rumba
rajar,R,empieza,lunfardo|argentinismo,https://dle.rae.es/rajar
sábana,S,empieza,general,https://dle.rae.es/sábana
semáforo,S,empieza,general,https://dle.rae.es/semáforo
sendero,S,empieza,general,https://dle.rae.es/sendero
serpiente,S,empieza,general,https://dle.rae.es/serpiente
silla,S,empieza,general,https://dle.rae.es/silla
sombra,S,empieza,general,https://dle.rae.es/sombra
submarino,S,empieza,general,https://dle.rae.es/submarino
subte,S,empieza,argentinismo,https://dle.rae.es/subte
tambor,T,empieza,general,https://dle.rae.es/tambor
teatro,T,empieza,general,https://dle.rae.es/teatro
teléfono,T,empieza,general,https://dle.rae.es/teléfono
tenedor,T,empieza,general,https://dle.rae.es/tenedor
tesoro,T,empieza,general,https://dle.rae.es/tesoro
túnel,T,empieza,general,https://dle.rae.es/túnel
tano,T,empieza,lunfardo|argentinismo,https://dle.rae.es/tano
trucho,T,empieza,lunfardo|argentinismo,https://dle.rae.es/trucho
umbral,U,empieza,general,https://dle.rae.es/umbral
unicornio,U,empieza,general,https://dle.rae.es/unicornio
uniforme,U,empieza,general,https://dle.rae.es/uniforme
universo,U,empieza,general,https://dle.rae.es/universo
urna,U,empieza,general,https://dle.rae.es/urna
urraca,U,empieza,general,https://dle.rae.es/urraca
utensilio,U,empieza,general,https://dle.rae.es/utensilio
uva,U,empieza,general,https://dle.rae.es/uva
vacuna,V,empieza,general,https://dle.rae.es/vacuna
valle,V,empieza,general,https://dle.rae.es/valle
ventana,V,empieza,general,https://dle.rae.es/ventana
vestido,V,empieza,general,https://dle.rae.es/vestido
viaje,V,empieza,general,https://dle.rae.es/viaje
viento,V,empieza,general,https://dle.rae.es/viento
violín,V,empieza,general,https://dle.rae.es/violín
verso,V,empieza,lunfardo|argentinismo,https://dle.rae.es/verso
examen,X,contiene,general,https://dle.rae.es/examen
éxito,X,contiene,general,https://dle.rae.es/éxito
exacto,X,contiene,general,https://dle.rae.es/exacto
texto,X,contiene,general,https://dle.rae.es/texto
taxi,X,contiene,general,https://dle.rae.es/taxi
oxígeno,X,contiene,general,https://dle.rae.es/oxígeno
próximo,X,contiene,general,https://dle.rae.es/próximo
exterior,X,contiene,general,https://dle.rae.es/exterior
yacaré,Y,empieza,argentinismo,https://dle.rae.es/yacaré
yacimiento,Y,empieza,general,https://dle.rae.es/yacimiento
yate,Y,empieza,general,https://dle.rae.es/yate
yegua,Y,empieza,general,https://dle.rae.es/yegua
yema,Y,empieza,general,https://dle.rae.es/yema
yeso,Y,empieza,general,https://dle.rae.es/yeso
yogur,Y,empieza,general,https://dle.rae.es/yogur
yunque,Y,empieza,general,https://dle.rae.es/yunque
zafiro,Z,empieza,general,https://dle.rae.es/zafiro
zanja,Z,empieza,general,https://dle.rae.es/zanja
zapato,Z,empieza,general,https://dle.rae.es/zapato
zarza,Z,empieza,general,https://dle.rae.es/zarza
zócalo,Z,empieza,general,https://dle.rae.es/zócalo
zoológico,Z,empieza,general,https://dle.rae.es/zoológico
zorro,Z,empieza,general,https://dle.rae.es/zorro
zafar,Z,empieza,lunfardo|argentinismo,https://dle.rae.es/zafar
