id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueInfantil,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
general-infantil-mariposa,mariposa,,M,empieza,general,infantil,1,"Insecto de alas grandes que suelen tener muchos colores.",,,,Diccionario de la lengua española,https://dle.rae.es/mariposa
general-infantil-nube,nube,,N,empieza,general,infantil,1,"Grupo de gotitas que vemos flotando en el cielo.",,,,Diccionario de la lengua española,https://dle.rae.es/nube
general-infantil-arana,araña,,Ñ,contiene,general,infantil,1,"Animal pequeño de ocho patas que fabrica telas pegajosas.","Animal de ocho patas que suele tejer una red de seda.","Arácnido que produce seda para construir redes y capturar presas.","Artrópodo quelicerado cuyo abdomen posee glándulas productoras de seda.",Diccionario de la lengua española,https://dle.rae.es/ara%C3%B1a
general-infantil-bano,baño,,Ñ,contiene,general,infantil,1,"Acción de lavarnos con agua para quedar limpios.","Acción de lavar el cuerpo o habitación destinada a hacerlo.","Inmersión o lavado corporal realizado por higiene o recreación.","Acto de someter el cuerpo a agua con fines higiénicos o terapéuticos.",Diccionario de la lengua española,https://dle.rae.es/ba%C3%B1o
general-infantil-muneca,muñeca,,Ñ,contiene,general,infantil,1,"Juguete con forma de persona usado para imaginar historias.","Juguete que representa a una persona y se usa para jugar.","Figura humana de juguete; también articulación entre mano y antebrazo.","Representación humana usada como juguete o articulación radiocarpiana del cuerpo.",Diccionario de la lengua española,https://dle.rae.es/mu%C3%B1eco
general-infantil-pinata,piñata,,Ñ,contiene,general,infantil,1,"Recipiente festivo lleno de sorpresas que se rompe jugando.","Recipiente con dulces que se rompe durante una celebración.","Vasija decorada y rellena de obsequios que se golpea con los ojos vendados.","Recipiente festivo suspendido que libera dulces al romperse mediante golpes.",Diccionario de la lengua española,https://dle.rae.es/pi%C3%B1ata
general-infantil-sueno,sueño,,Ñ,contiene,general,infantil,1,"Historias e imágenes que aparecen en nuestra mente al dormir.","Imágenes y sucesos que una persona imagina mientras duerme.","Actividad mental involuntaria que se experimenta durante ciertas fases del dormir.","Experiencia psíquica de imágenes y sensaciones producida durante el estado de dormir.",Diccionario de la lengua española,https://dle.rae.es/sue%C3%B1o
general-infantil-otono,otoño,,Ñ,contiene,general,infantil,1,"Estación del año cuando muchas hojas caen de los árboles.","Estación situada entre el verano y el invierno.","Periodo anual de clima templado en que muchos árboles pierden sus hojas.","Estación comprendida entre el equinoccio posterior al verano y el solsticio invernal.",Diccionario de la lengua española,https://dle.rae.es/oto%C3%B1o
general-infantil-nino,niño,niña,Ñ,contiene,general,infantil,1,"Persona que todavía está en los primeros años de vida.","Persona que atraviesa la etapa de la infancia.","Ser humano que aún no ha alcanzado la adolescencia.","Persona que se encuentra en el periodo vital comprendido desde el nacimiento hasta la pubertad.",Diccionario de la lengua española,https://dle.rae.es/ni%C3%B1o
general-infantil-panuelo,pañuelo,,Ñ,contiene,general,infantil,1,"Trozo pequeño de tela usado para limpiarse la nariz.","Pieza cuadrada de tela usada para limpiarse o adornarse.","Trozo de tela que se lleva como accesorio o para la higiene personal.","Pieza generalmente cuadrada de tejido empleada con función higiénica u ornamental.",Diccionario de la lengua española,https://dle.rae.es/pa%C3%B1uelo
general-infantil-oso,oso,osa,O,empieza,general,infantil,1,"Animal grande y peludo que camina sobre cuatro patas.",,,,Diccionario de la lengua española,https://dle.rae.es/oso
general-infantil-perro,perro,perra,P,empieza,general,infantil,1,"Animal doméstico que ladra y suele ser muy compañero.",,,,Diccionario de la lengua española,https://dle.rae.es/perro
general-infantil-piano,piano,,P,empieza,general,infantil,1,"Instrumento musical con muchas teclas blancas y negras.",,,,Diccionario de la lengua española,https://dle.rae.es/piano
general-infantil-quimica,química,,Q,empieza,general,infantil,1,"Ciencia que estudia de qué están hechas las cosas.",,,,Diccionario de la lengua española,https://dle.rae.es/qu%C3%ADmico
general-infantil-rana,rana,,R,empieza,general,infantil,1,"Animal pequeño que salta, nada y vive cerca del agua.",,,,Diccionario de la lengua española,https://dle.rae.es/rana
general-infantil-robot,robot,,R,empieza,general,infantil,1,"Máquina programada para realizar tareas de manera automática.",,,,Diccionario de la lengua española,https://dle.rae.es/robot
