id,clueInfantil
teocratico-altar,"Lugar donde en tiempos bíblicos se presentaban ofrendas a Dios."
teocratico-angel,"Ser espiritual que puede llevar mensajes de Dios."
teocratico-apostol,"Discípulo elegido y enviado por Jesús."
teocratico-arca-del-pacto,"Cofre especial que estaba en el tabernáculo de Israel."
teocratico-baal,"Dios falso que adoraban algunos enemigos de Israel."
teocratico-bautismo,"Cuando una persona se sumerge por completo en agua."
teocratico-botin,"Cosas que un ejército vencedor se llevaba después de una batalla."
teocratico-buenas-noticias,"Mensaje feliz sobre el Reino de Dios."
teocratico-camino,"Palabra que también puede referirse a una forma de vivir."
teocratico-canaan,"Tierra que Jehová prometió darles a los israelitas."
teocratico-cristiano,"Persona que sigue las enseñanzas de Jesús."
teocratico-cristo,"Título de Jesús que significa que fue elegido por Dios."
teocratico-demonio,"Ángel malo que se rebeló contra Dios."
teocratico-desierto,"Lugar seco donde los israelitas vivieron durante muchos años."
teocratico-diablo,"Nombre que significa calumniador y se aplica a Satanás."
teocratico-discipulo,"Persona que aprende de Jesús y sigue sus enseñanzas."
