id,clueInfantil
teocratico-madero,"Pieza de madera donde los soldados romanos ejecutaron a Jesús."
teocratico-mana,"Alimento que Jehová dio a Israel cada día en el desierto."
teocratico-mesias,"Título de Jesús como el gobernante elegido por Dios."
teocratico-milagros,"Obras extraordinarias que se realizan gracias al poder de Dios."
teocratico-mundo,"Palabra bíblica que a veces se refiere a toda la humanidad."
teocratico-nazareno,"Nombre dado a Jesús porque se había criado en Nazaret."
teocratico-nazareo,"Persona dedicada especialmente a Jehová mediante un voto."
teocratico-nefilim,"Gigantes violentos que vivieron antes del Diluvio de Noé."
teocratico-ano,"Periodo de doce meses usado para medir el tiempo."
teocratico-cana,"Planta de tallo largo y hueco que crece cerca del agua."
teocratico-compania-mixta,"Grupo no israelita que salió de Egipto junto con Israel."
teocratico-ensenanza,"Información que ayuda a aprender cómo piensa y actúa Jehová."
teocratico-matrimonio-de-cunado,"Costumbre para cuidar a la viuda sin hijos de un hermano."
teocratico-rebano,"Grupo de ovejas usado como ejemplo de personas cuidadas."
teocratico-senal,"Algo visible que indica o confirma otra cosa importante."
teocratico-suenos,"Imágenes vistas al dormir que a veces transmitieron mensajes divinos."
teocratico-odre,"Recipiente de piel que en tiempos bíblicos guardaba líquidos."
teocratico-ofrenda-de-agradecimiento,"Regalo voluntario presentado a Jehová para darle las gracias."
teocratico-ofrenda-de-paz,"Sacrificio que representaba una relación pacífica con Jehová."
teocratico-ofrenda-de-voto,"Regalo presentado a Jehová para cumplir una promesa."
teocratico-ofrenda-mecida,"Presentación que el sacerdote movía ante Jehová durante una ceremonia."
teocratico-olibano,"Resina perfumada usada en el incienso del tabernáculo."
teocratico-pacto,"Acuerdo especial que establece promesas y responsabilidades entre dos partes."
teocratico-paraiso,"Lugar hermoso y pacífico parecido al jardín de Edén."
teocratico-pascua,"Fiesta que recordaba cómo Jehová liberó a Israel de Egipto."
teocratico-pecado,"Acción, pensamiento o deseo que no cumple las normas divinas."
teocratico-pentecostes,"Fiesta en que los discípulos recibieron espíritu santo."
teocratico-profecia,"Mensaje de Dios que puede anunciar lo que sucederá."
teocratico-profeta,"Persona elegida para comunicar mensajes procedentes de Dios."
teocratico-querubin,"Ángel de alto rango que sirve cerca de Jehová."
teocratico-qumran,"Lugar donde encontraron antiguos rollos con textos de la Biblia."
teocratico-ezequias,"Rey fiel que oró y recibió quince años más de vida."
teocratico-ezequiel,"Profeta que vio un carro celestial y huesos volver a vivir."
teocratico-melquisedec,"Rey y sacerdote que bendijo al fiel Abrahán."
teocratico-rahab,"Mujer valiente que escondió a dos espías israelitas."
teocratico-recordatorio,"Algo que nos ayuda a no olvidar una enseñanza importante."
teocratico-reino,"Gobierno dirigido por un rey, como el que tuvo Israel."
teocratico-reino-de-dios,"Gobierno celestial que traerá paz y justicia a la Tierra."
teocratico-rescate,"Precio que Jesús pagó para liberarnos del pecado y la muerte."
