id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueInfantil,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
teocratico-infantil-moises,Moisés,,M,empieza,teocratico,relato-biblico-infantil,1,"Hombre que Jehová eligió para sacar a Israel de Egipto.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/4/moises/
teocratico-infantil-maria,María,,M,empieza,teocratico,relato-biblico-infantil,1,"Joven fiel elegida por Dios para ser madre de Jesús.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/11/angel-gabriel-visita-maria/
teocratico-infantil-marta,Marta,,M,empieza,teocratico,relato-biblico-infantil,1,"Hermana de Lázaro que recibió consuelo y esperanza de Jesús.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/12/jesus-resucita-lazaro/
teocratico-infantil-noe,Noé,,N,contiene,teocratico,relato-biblico-infantil,1,"Hombre obediente que construyó un arca para salvar a su familia.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/2/arca-de-noe/
teocratico-infantil-naaman,Naamán,,N,contiene,teocratico,relato-biblico-infantil,1,"Guerrero enfermo que se curó después de escuchar a Eliseo.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/9/naaman-leproso/
teocratico-infantil-ninive,Nínive,,N,contiene,teocratico,relato-biblico-infantil,1,"Ciudad adonde Jehová envió a Jonás para dar una advertencia.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/9/jonas/
teocratico-infantil-nehemias,Nehemías,,N,contiene,teocratico,relato-biblico-infantil,1,"Hombre valiente que reconstruyó las murallas de Jerusalén.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/10/murallas-jerusalen-nehemias/
teocratico-infantil-nabucodonosor,Nabucodonosor,,N,contiene,teocratico,relato-biblico-infantil,1,"Rey de Babilonia que soñó con una enorme estatua.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/10/nabucodonosor-sueno-estatua/
teocratico-infantil-obediencia,obediencia,,O,empieza,teocratico,relato-biblico-infantil,1,"Cualidad de hacer caso, como Abrahán cuando Jehová lo llamó.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/3/abrahan-sara/
teocratico-infantil-oracion,oración,,O,empieza,teocratico,relato-biblico-infantil,1,"Forma respetuosa de hablar con Jehová y contarle nuestras preocupaciones.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/12/jesus-ensena-orar/
teocratico-infantil-pedro,Pedro,,P,empieza,teocratico,relato-biblico-infantil,1,"Apóstol que negó conocer a Jesús tres veces y luego lloró.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/13/pedro-niega-jesus-tres-veces/
teocratico-infantil-quemar,quemar,,Q,contiene,teocratico,relato-biblico-infantil,1,"Lo que el fuego suele hacer, pero no hizo al arbusto.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/4/moises-arbusto-llamas/
teocratico-infantil-mardoqueo,Mardoqueo,,Q,contiene,teocratico,relato-biblico-infantil,1,"Primo de Ester que la animó a ayudar a su pueblo.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/10/reina-ester-salva-pueblo/
teocratico-infantil-pequeno,pequeño,pequeña,Q,contiene,teocratico,relato-biblico-infantil,1,"De tamaño reducido, como el ejército que acompañó a Gedeón.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/6/gedeon-madianitas/
teocratico-infantil-rut,Rut,,R,empieza,teocratico,relato-biblico-infantil,1,"Viuda leal que acompañó a Noemí y cuidó de ella.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/6/rut-noemi/
teocratico-infantil-rebeca,Rebeca,,R,empieza,teocratico,relato-biblico-infantil,1,"Esposa de Isaac y madre de los gemelos Jacob y Esaú.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/3/jacob-esau-herencia/
teocratico-infantil-roma,Roma,,R,empieza,teocratico,relato-biblico-infantil,1,"Ciudad adonde llevaron prisionero a Pablo para ser juzgado.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/14/apostol-pablo-naufragio-roma/
