id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueInfantil,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
teocratico-infantil-samuel,Samuel,,S,empieza,teocratico,relato-biblico-infantil,1,"Niño que escuchó a Jehová llamarlo durante la noche.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/6/dios-llama-samuel/
teocratico-infantil-sanson,Sansón,,S,empieza,teocratico,relato-biblico-infantil,1,"Hombre a quien Jehová dio enorme fuerza para luchar.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/6/sanson-dalila/
teocratico-infantil-timoteo,Timoteo,,T,empieza,teocratico,relato-biblico-infantil,1,"Joven cristiano que viajó y predicó junto con Pablo.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/14/pablo-timoteo/
teocratico-infantil-torre,torre,,T,empieza,teocratico,relato-biblico-infantil,1,"Construcción alta que la gente de Babel quiso levantar.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/3/torre-babel/
teocratico-infantil-tormenta,tormenta,,T,empieza,teocratico,relato-biblico-infantil,1,"Viento fuerte y olas que asustaron a los discípulos.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/12/jesus-camina-sobre-agua/
teocratico-infantil-tunica,túnica,,T,empieza,teocratico,relato-biblico-infantil,1,"Prenda larga que usaban muchas personas en tiempos bíblicos.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/4/jose/
teocratico-infantil-trompeta,trompeta,,T,empieza,teocratico,relato-biblico-infantil,1,"Instrumento que sonó antes de caer las murallas de Jericó.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/6/rahab-esconde-espias/
teocratico-infantil-jerusalen,Jerusalén,,U,contiene,teocratico,relato-biblico-infantil,1,"Ciudad donde Jesús celebró su última cena con los apóstoles.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/13/jesus-ultima-cena/
teocratico-infantil-saul,Saúl,,U,contiene,teocratico,relato-biblico-infantil,1,"Primer hombre que llegó a ser rey de Israel.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/7/saul-rey-israel/
teocratico-infantil-muralla,muralla,,U,contiene,teocratico,relato-biblico-infantil,1,"Pared grande que rodeaba Jericó y cayó milagrosamente.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/6/rahab-esconde-espias/
teocratico-infantil-josue,Josué,,U,contiene,teocratico,relato-biblico-infantil,1,"Hombre fiel que guio a Israel después de Moisés.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/6/josue-tierra-prometida/
teocratico-infantil-judas,Judas,Judas Iscariote,U,contiene,teocratico,relato-biblico-infantil,1,"Apóstol que traicionó a Jesús y guio a sus enemigos.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/13/arrestan-jesus/
teocratico-infantil-eva,Eva,,V,contiene,teocratico,relato-biblico-infantil,1,"Primera mujer, creada por Dios para formar una familia.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/1/dios-crea-adan-eva/
teocratico-infantil-esclavo,esclavo,,V,contiene,teocratico,relato-biblico-infantil,1,"Persona obligada a trabajar para un dueño, como José.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/4/jose/
teocratico-infantil-oveja,oveja,,V,contiene,teocratico,relato-biblico-infantil,1,"Animal de lana que un pastor cuida y protege.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/7/david-batseba/
teocratico-infantil-viuda,viuda,,V,contiene,teocratico,relato-biblico-infantil,1,"Mujer cuyo esposo murió, como la madre de Sarepta.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/8/viuda-sarepta-elias/
teocratico-infantil-exploradores,exploradores,espías,X,contiene,teocratico,relato-biblico-infantil,1,"Doce hombres enviados a observar la tierra de Canaán.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/5/12-espias-josue-caleb/
teocratico-infantil-explicacion,explicación,,X,contiene,teocratico,relato-biblico-infantil,1,"Significado que Daniel dio al sueño de Nabucodonosor.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/10/nabucodonosor-sueno-estatua/
teocratico-infantil-sexto-dia,sexto día,día sexto,X,contiene,teocratico,relato-biblico-infantil,1,"Momento de la creación cuando aparecieron animales y seres humanos.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/1/dios-hace-cielo-tierra/
teocratico-infantil-ayudante,ayudante,,Y,contiene,teocratico,relato-biblico-infantil,1,"Persona que colabora con otra para realizar una tarea.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/1/dios-hace-cielo-tierra/
teocratico-infantil-mayor,mayor,,Y,contiene,teocratico,relato-biblico-infantil,1,"Persona considerada más importante que otras dentro de un grupo.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/13/jesus-ultima-cena/
teocratico-infantil-hoyo,hoyo,pozo,Y,contiene,teocratico,relato-biblico-infantil,1,"Agujero profundo donde los hermanos de José lo arrojaron.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/4/jose/
teocratico-infantil-zacarias,Zacarías,,Z,contiene,teocratico,relato-biblico-infantil,1,"Padre de Juan el Bautista que quedó sin poder hablar.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/11/zacarias-elisabet-juan/
teocratico-infantil-jezabel,Jezabel,,Z,contiene,teocratico,relato-biblico-infantil,1,"Reina malvada que hizo matar a Nabot por su viñedo.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/8/acab-jezabel/
teocratico-infantil-bautizar,bautizar,,Z,contiene,teocratico,relato-biblico-infantil,1,"Sumergir a una persona en agua como señal de dedicación.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/12/ahora-jesus-mesias/
teocratico-infantil-nazaret,Nazaret,,Z,contiene,teocratico,relato-biblico-infantil,1,"Ciudad donde Jesús creció junto con su familia.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/11/joven-jesus-templo/
teocratico-infantil-azufre,azufre,,Z,contiene,teocratico,relato-biblico-infantil,1,"Sustancia que cayó con fuego sobre Sodoma y Gomorra.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/3/acuerdate-esposa-lot/
teocratico-infantil-booz,Booz,Boaz,Z,contiene,teocratico,relato-biblico-infantil,1,"Hombre bondadoso que protegió a Rut y se casó con ella.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/6/rut-noemi/
teocratico-infantil-diez-mandamientos,Diez Mandamientos,,Z,contiene,teocratico,relato-biblico-infantil,1,"Leyes escritas por Dios en dos tablas de piedra.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/5/moises-diez-mandamientos-becerro-oro/
