id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueInfantil,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
general-sostenible-mapa,mapa,,M,empieza,general,infantil|sostenible,1,"Dibujo que muestra dónde están ciudades, caminos, ríos y países.",Representación de un territorio que ayuda a ubicarse o planear recorridos.,Imagen a escala que sitúa elementos geográficos mediante símbolos convencionales.,"Representación cartográfica, plana y simplificada, de una superficie terrestre.",Diccionario de la lengua española,https://dle.rae.es/mapa
general-sostenible-mar,mar,,M,empieza,general,infantil|sostenible,1,Gran extensión de agua salada donde viven peces y ballenas.,Masa de agua salada menor que un océano y cercana a tierra.,"Parte del océano delimitada por costas, islas o accidentes submarinos.","Extensión acuática salina cuya dinámica incluye mareas, oleaje y corrientes.",Diccionario de la lengua española,https://dle.rae.es/mar
general-sostenible-mano,mano,,M,empieza,general,infantil|sostenible,1,Parte del cuerpo con cinco dedos que sirve para agarrar.,"Extremo del brazo humano usado para tocar, sostener y hacer cosas.","Órgano prensil compuesto por palma, dorso y dedos articulados.","Segmento distal de la extremidad superior, especializado en prensión y tacto.",Diccionario de la lengua española,https://dle.rae.es/mano
general-sostenible-mesa,mesa,,M,empieza,general,infantil|sostenible,1,Mueble con una tabla y patas para comer o trabajar.,Superficie elevada y horizontal donde se apoyan objetos o se realizan tareas.,Mueble formado normalmente por un tablero sostenido por uno o varios apoyos.,Pieza de mobiliario cuya función deriva de su plano horizontal sustentado.,Diccionario de la lengua española,https://dle.rae.es/mesa
general-sostenible-mono,mono,,M,empieza,general,infantil|sostenible,1,Animal peludo que trepa árboles y puede usar manos y pies.,"Primate generalmente ágil, de rostro poco saliente y hábitos arborícolas.","Nombre común de diversos primates, a menudo provistos de cola.",Término no taxonómico aplicado a primates simiformes distintos de los grandes simios.,Diccionario de la lengua española,https://dle.rae.es/mono
general-sostenible-moto,moto,,M,empieza,general,infantil|sostenible,1,Vehículo de dos ruedas con motor que se conduce sentado.,"Medio de transporte motorizado de dos ruedas, más ligero que un automóvil.",Vehículo automóvil dirigido mediante manillar y sostenido en marcha por equilibrio.,"Acortamiento coloquial de motocicleta, vehículo de propulsión mecánica y dos ruedas.",Diccionario de la lengua española,https://dle.rae.es/moto
general-sostenible-mochila,mochila,,M,empieza,general,infantil|sostenible,1,Bolsa con tirantes que se lleva colgada en la espalda.,Recipiente flexible para transportar objetos dejando libres las manos.,Bolsa de viaje o escolar sujeta a los hombros mediante correas.,Equipaje portátil diseñado para distribuir su carga sobre espalda y hombros.,Diccionario de la lengua española,https://dle.rae.es/mochila
general-sostenible-medalla,medalla,,M,empieza,general,infantil|sostenible,1,Pieza de metal que se entrega como premio por un logro.,"Distintivo redondo que conmemora una persona, hecho o victoria.","Objeto metálico acuñado, a menudo suspendido, concedido como premio o recuerdo.",Pieza conmemorativa sin valor monetario que porta inscripciones o imágenes en relieve.,Diccionario de la lengua española,https://dle.rae.es/medalla
general-sostenible-medico,médico,,M,empieza,general,infantil|sostenible,1,Persona que cura enfermos y ayuda a cuidar la salud.,"Profesional que examina pacientes, diagnostica enfermedades y prescribe tratamientos.","Especialista titulado en medicina, responsable de prevenir y tratar alteraciones de salud.",Facultativo autorizado para ejercer la medicina según conocimientos científicos y criterios clínicos.,Diccionario de la lengua española,https://dle.rae.es/m%C3%A9dico
general-sostenible-melon,melón,,M,empieza,general,infantil|sostenible,1,"Fruta grande, redonda y dulce, con muchas semillas adentro.",Fruto de corteza firme y pulpa jugosa que crece sobre una planta rastrera.,"Fruto de la melonera, pepónide aromático de la familia de las cucurbitáceas.","Baya modificada de Cucumis melo, cultivada en numerosas variedades hortícolas.",Diccionario de la lengua española,https://dle.rae.es/mel%C3%B3n
general-sostenible-merienda,merienda,,M,empieza,general,infantil|sostenible,1,Comida pequeña que se toma durante la tarde.,"Alimento ligero entre el almuerzo y la cena, especialmente entre niños.",Comida de poca cantidad tomada a media tarde o entre comidas principales.,Colación vespertina cuyo nombre también designa la acción de merendar.,Diccionario de la lengua española,https://dle.rae.es/merienda
general-sostenible-microfono,micrófono,,M,empieza,general,infantil|sostenible,1,Aparato que recoge la voz para que se escuche fuerte.,Dispositivo usado para grabar sonidos o transmitirlos por altavoces.,Transductor que convierte las ondas sonoras en una señal eléctrica.,Dispositivo electroacústico cuya membrana transforma variaciones de presión en señal.,Diccionario de la lengua española,https://dle.rae.es/micr%C3%B3fono
general-sostenible-miel,miel,,M,empieza,general,infantil|sostenible,1,Alimento dulce y pegajoso que fabrican las abejas.,Sustancia dorada producida con néctar y almacenada en los panales.,Producto elaborado por abejas al transformar y concentrar néctares vegetales.,"Solución sobresaturada de azúcares naturales, de origen apícola y propiedades higroscópicas.",Diccionario de la lengua española,https://dle.rae.es/miel
general-sostenible-mimo,mimo,,M,empieza,general,infantil|sostenible,1,Artista que cuenta algo con gestos y sin hablar.,"Intérprete que representa acciones mediante movimientos, expresiones y silencio.",Actor especializado en comunicar escenas usando únicamente lenguaje corporal.,Arte escénico de imitación y expresión corporal que prescinde de la palabra.,Diccionario de la lengua española,https://dle.rae.es/mimo
general-sostenible-molino,molino,,M,empieza,general,infantil|sostenible,1,Máquina que tritura granos para convertirlos en harina.,"Construcción con mecanismos movidos por viento, agua o electricidad para moler.","Ingenio que aprovecha una fuerza motriz para triturar, prensar o pulverizar materias.",Máquina transformadora asociada históricamente a energía eólica o hidráulica.,Diccionario de la lengua española,https://dle.rae.es/molino
general-sostenible-moneda,moneda,,M,empieza,general,infantil|sostenible,1,Pieza de dinero usada para pagar cosas pequeñas.,Disco de metal emitido oficialmente con un valor determinado.,Pieza acuñada que sirve como medio legal de intercambio y unidad de cuenta.,Signo monetario metálico garantizado por una autoridad emisora.,Diccionario de la lengua española,https://dle.rae.es/moneda
general-sostenible-morsa,morsa,,M,empieza,general,infantil|sostenible,1,Animal marino grande con bigotes y dos colmillos largos.,Mamífero del Ártico que descansa en hielo y nada con aletas.,"Pinnípedo robusto, de piel gruesa y caninos superiores convertidos en defensas.","Mamífero odobénido circumpolar, único representante viviente de su familia.",Diccionario de la lengua española,https://dle.rae.es/morsa
general-sostenible-mosquito,mosquito,,M,empieza,general,infantil|sostenible,1,"Insecto pequeño que vuela, zumba y puede picar.",Insecto de patas largas cuya hembra suele alimentarse de sangre.,"Díptero de cuerpo fino y trompa perforadora, con larvas acuáticas.",Insecto culícido capaz de actuar como vector biológico de diversas enfermedades.,Diccionario de la lengua española,https://dle.rae.es/mosquito
general-sostenible-muelle,muelle,,M,empieza,general,infantil|sostenible,1,Lugar junto al agua donde atracan barcos y suben pasajeros.,Construcción que avanza sobre un puerto para facilitar carga y desembarco.,Obra portuaria destinada al atraque de embarcaciones y movimiento de mercancías.,"Estructura ribereña equipada para operaciones de amarre, embarque y estiba.",Diccionario de la lengua española,https://dle.rae.es/muelle
general-sostenible-museo,museo,,M,empieza,general,infantil|sostenible,1,Lugar donde se guardan y muestran objetos importantes o antiguos.,Institución abierta al público que conserva y exhibe colecciones culturales.,"Entidad dedicada a adquirir, investigar, proteger y comunicar patrimonio material o inmaterial.",Institución permanente al servicio social que interpreta patrimonio con fines educativos.,Diccionario de la lengua española,https://dle.rae.es/museo
general-sostenible-nadar,nadar,,N,empieza,general,infantil|sostenible,1,"Moverse por el agua usando brazos, piernas o aletas.",Avanzar o mantenerse a flote mediante movimientos coordinados del cuerpo.,"Desplazarse en un líquido sin apoyo en el fondo, por propulsión corporal.",Ejecutar locomoción acuática venciendo resistencia y regulando flotación y respiración.,Diccionario de la lengua española,https://dle.rae.es/nadar
general-sostenible-naipe,naipe,,N,empieza,general,infantil|sostenible,1,Tarjeta de una baraja usada para jugar distintos juegos.,Cada cartulina ilustrada con número o figura que compone una baraja.,Carta rectangular marcada por palo y valor para juegos de azar o estrategia.,Lámina de cartulina perteneciente a un sistema convencional de palos y rangos.,Diccionario de la lengua española,https://dle.rae.es/naipe
general-sostenible-nata,nata,,N,empieza,general,infantil|sostenible,1,Capa cremosa que se forma sobre la leche.,"Parte grasa de la leche, usada para preparar postres y salsas.",Sustancia rica en grasa que se separa de la leche por reposo o centrifugación.,Emulsión láctea concentrada cuya materia grasa permite elaborar mantequilla.,Diccionario de la lengua española,https://dle.rae.es/nata
general-sostenible-naturaleza,naturaleza,,N,empieza,general,infantil|sostenible,1,"Conjunto de animales, plantas, montañas, ríos y otros seres.",Mundo físico no fabricado por las personas y sus fenómenos.,"Conjunto de seres y procesos del universo, especialmente los del ambiente terrestre.","Realidad material y sistema de leyes que rigen organismos, materia y energía.",Diccionario de la lengua española,https://dle.rae.es/naturaleza
