id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueInfantil,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
general-sostenible-sapo,sapo,,S,empieza,general,infantil,1,"Animal parecido a la rana, de piel rugosa y grandes saltos.",Anfibio de cuerpo robusto y piel rugosa que suele vivir en lugares húmedos.,Animal sin cola cuya piel presenta verrugas y que se desplaza mediante saltos.,"En cuentos y jardines, este anfibio terrestre se distingue de la rana por su cuerpo rechoncho y su piel áspera.",Diccionario de la lengua española,https://dle.rae.es/sapo
general-sostenible-saco,saco,,S,empieza,general,infantil,1,Bolsa grande donde se guardan o transportan cosas.,"Recipiente flexible, por lo común de tela, abierto por un extremo.","Bolsa resistente que sirve para contener productos como harina, carbón o granos.","Antes de las cajas y los envases rígidos, muchos productos a granel viajaban dentro de esta envoltura cosida.",Diccionario de la lengua española,https://dle.rae.es/saco
general-sostenible-sal,sal,,S,empieza,general,infantil,1,Condimento blanco que se pone a la comida para darle sabor.,Sustancia cristalina usada principalmente para sazonar y conservar alimentos.,Compuesto soluble cuyo tipo más común es el cloruro de sodio.,En la antigüedad llegó a ser tan valiosa que su nombre quedó relacionado con el pago de los trabajadores.,Diccionario de la lengua española,https://dle.rae.es/sal
general-sostenible-salto,salto,,S,empieza,general,infantil,1,Movimiento que hacemos al impulsarnos para separarnos del suelo.,Acción de elevarse de una superficie mediante un impulso brusco.,Desplazamiento en el que el cuerpo queda momentáneamente sin apoyo.,Es la fase aérea que sigue al impulso de las piernas y precede a la caída.,Diccionario de la lengua española,https://dle.rae.es/salto
general-sostenible-sandia,sandía,,S,empieza,general,infantil,1,"Fruta grande, verde por fuera y roja por dentro.","Fruto redondo u ovalado, de corteza verde y pulpa muy jugosa.",Planta cucurbitácea y fruto veraniego que suele contener numerosas pepitas negras.,Su elevada proporción de agua y su pulpa rojiza la convierten en un alimento emblemático del verano.,Diccionario de la lengua española,https://dle.rae.es/sand%C3%ADa
general-sostenible-sarten,sartén,,S,empieza,general,infantil,1,Recipiente con mango que se usa para cocinar.,"Utensilio de cocina ancho, poco profundo y provisto de un mango.",Vasija metálica en la que se fríen o saltean alimentos sobre el fuego.,Es la pieza de menaje que permite dorar ingredientes en una superficie plana sin introducirlos en el horno.,Diccionario de la lengua española,https://dle.rae.es/sart%C3%A9n
general-sostenible-semilla,semilla,,S,empieza,general,infantil,1,Parte pequeña de una planta de la que puede nacer otra.,Estructura vegetal que contiene el embrión de una nueva planta.,Óvulo fecundado y maduro que puede germinar en condiciones favorables.,Permanece latente hasta que la humedad y la temperatura adecuadas activan su germinación.,Diccionario de la lengua española,https://dle.rae.es/semilla
general-sostenible-silbato,silbato,,S,empieza,general,infantil,1,Objeto que suena fuerte cuando soplamos por él.,Instrumento pequeño que produce un sonido agudo al recibir aire.,Dispositivo de viento usado para dar señales en deportes o emergencias.,Árbitros y guardavidas recurren a su tono penetrante para hacerse oír a distancia.,Diccionario de la lengua española,https://dle.rae.es/silbato
general-sostenible-sirena,sirena,,S,empieza,general,infantil,1,Alarma que produce un sonido muy fuerte.,Aparato acústico que avisa de un peligro mediante un sonido intenso.,Señal sonora prolongada utilizada por vehículos de emergencia y sistemas de alerta.,Su ulular abre paso a ambulancias y también puede advertir a una población de una amenaza.,Diccionario de la lengua española,https://dle.rae.es/sirena
general-sostenible-sobre,sobre,,S,empieza,general,infantil,1,Envoltura de papel donde se mete una carta.,Cubierta de papel doblado que sirve para guardar o enviar documentos.,Envoltura plana con una solapa que protege la correspondencia.,"Antes del correo electrónico, se cerraba, se franqueaba y se depositaba en un buzón.",Diccionario de la lengua española,https://dle.rae.es/sobre
general-sostenible-sopa,sopa,,S,empieza,general,infantil,1,Comida líquida que se toma con cuchara.,Plato elaborado con un caldo y diversos ingredientes cocidos en él.,Preparación culinaria líquida o semilíquida que suele servirse caliente.,"Puede comenzar con un caldo y admitir verduras, fideos o legumbres antes de llegar al plato.",Diccionario de la lengua española,https://dle.rae.es/sopa
general-sostenible-sonrisa,sonrisa,,S,empieza,general,infantil,1,Gesto alegre que hacemos curvando los labios.,Expresión del rostro en la que las comisuras de la boca se elevan.,Movimiento facial asociado habitualmente con la alegría o la amabilidad.,"Sin necesidad de palabras, este gesto de las comisuras puede comunicar aprobación, afecto o complicidad.",Diccionario de la lengua española,https://dle.rae.es/sonrisa
