id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueInfantil,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
teocratico-sostenible-abias,Abías,,A,empieza,teocratico,relato-biblico-infantil|sostenible,1,Niño que llegó a reinar sobre Judá.,Rey de Judá e hijo de Roboam.,Gobernante que venció a Jeroboán confiando en Jehová.,Ante un ejército dos veces mayor recordó el pacto divino con David.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/1-reyes/15/#v1
teocratico-sostenible-abner,Abner,,A,empieza,teocratico,relato-biblico-infantil|sostenible,1,Jefe del ejército del rey Saúl.,Militar poderoso que apoyó primero a Is-Bóset.,Pariente de Saúl que después negoció entregar el reino a David.,Joab lo mató en Hebrón para vengar la muerte de Asahel.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/2-samuel/3/#v6
teocratico-sostenible-acaz,Acaz,,A,empieza,teocratico,relato-biblico-infantil|sostenible,1,Rey de Judá que desobedeció gravemente a Jehová.,Padre de Ezequías y gobernante infiel de Judá.,Monarca que prefirió pedir ayuda a Asiria en vez de confiar en Dios.,"Isaías le ofreció una señal, pero él fingió modestia y la rechazó.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/2-reyes/16/#v1
teocratico-sostenible-adonias,Adonías,,A,empieza,teocratico,relato-biblico-infantil|sostenible,1,Hijo de David que quiso hacerse rey.,Príncipe que intentó ocupar el trono antes que Salomón.,Hijo de Haguit que reunió carros y partidarios sin autorización de su padre.,Su banquete de coronación terminó cuando oyó la celebración por el nuevo rey legítimo.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/1-reyes/1/#v5
teocratico-sostenible-agripa,Agripa,,A,empieza,teocratico,relato-biblico-infantil|sostenible,1,Rey que escuchó la defensa del apóstol Pablo.,Gobernante ante quien Pablo relató su conversión.,Herodes consultado por Festo sobre los cargos contra un prisionero que apeló a César.,El apóstol le preguntó directamente si creía en los profetas.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/hechos/26/#v1
teocratico-sostenible-ahimaaz,Ahimáaz,,A,empieza,teocratico,relato-biblico-infantil|sostenible,1,Corredor que llevó noticias al rey David.,Hijo del sacerdote Sadoc y mensajero veloz.,Joven que insistió en anunciar el resultado de la batalla contra Absalón.,Llegó antes que el cusita pero evitó comunicar claramente la muerte del príncipe.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/2-samuel/18/#v19
teocratico-sostenible-amnon,Amnón,,A,empieza,teocratico,relato-biblico-infantil|sostenible,1,Hijo de David que hizo daño a Tamar.,Príncipe que fingió estar enfermo para atraer a su media hermana.,Primogénito de David cuya conducta cruel provocó el odio de Absalón.,Murió durante un banquete celebrado dos años después de su delito.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/2-samuel/13/#v1
teocratico-sostenible-amos,Amós,,A,empieza,teocratico,relato-biblico-infantil|sostenible,1,Profeta humilde que trabajaba cuidando ovejas en Judá.,Mensajero de Judá enviado a profetizar contra Israel.,Humilde cuidador de ganado y cultivador de sicómoros en tiempos de Jeroboán segundo.,Vio una plomada y una canasta de fruto de verano en mensajes de juicio.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/amos/1/#v1
teocratico-sostenible-ananias,Ananías,,A,empieza,teocratico,relato-biblico-infantil|sostenible,1,Discípulo que ayudó a Saulo después de su visión.,Cristiano de Damasco enviado por Jesús a visitar a Saulo.,Hombre temeroso que puso las manos sobre el futuro apóstol para devolverle la vista.,"Al principio objetó por la fama del perseguidor, pero obedeció y lo llamó hermano.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/hechos/9/#v10
teocratico-sostenible-andres,Andrés,,A,empieza,teocratico,relato-biblico-infantil|sostenible,1,Apóstol que llevó a su hermano Pedro hasta Jesús.,Pescador de Betsaida y hermano de Simón Pedro.,Uno de los primeros discípulos que reconoció al Mesías tras escuchar a Juan.,Encontró a un muchacho con panes y peces antes de alimentar a miles.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/juan/1/#v40
teocratico-sostenible-apolos,Apolos,,A,empieza,teocratico,relato-biblico-infantil|sostenible,1,Cristiano elocuente que conocía muy bien las Escrituras.,Judío de Alejandría que predicó con entusiasmo acerca de Jesús.,Orador instruido por Priscila y Áquila para entender con mayor exactitud el camino de Dios.,En Acaya refutó públicamente a los judíos demostrando que Jesús era el Cristo.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/hechos/18/#v24
teocratico-sostenible-aquila,Aquila,,A,empieza,teocratico,relato-biblico-infantil|sostenible,1,Cristiano que fabricaba tiendas junto con Pablo.,Esposo de Priscila y colaborador del apóstol Pablo.,Judío expulsado de Roma por Claudio que hospedó y enseñó a Apolos.,Varias congregaciones se reunieron en la casa que compartía con su esposa.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/hechos/18/#v2
teocratico-sostenible-aaron,Aarón,,A,empieza,teocratico,relato-biblico-infantil|sostenible,1,Hermano de Moisés que habló ante el faraón.,Fue nombrado primer sumo sacerdote de Israel y padre de una familia sacerdotal.,Su vara produjo brotes para confirmar la elección divina de la tribu de Leví.,"Aunque participó en el episodio del becerro de oro, siguió sirviendo hasta morir en Hor.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/exodo/4/#v14
teocratico-sostenible-abigail,Abigail,,A,empieza,teocratico,relato-biblico-infantil|sostenible,1,Mujer prudente que evitó una venganza de David.,Llevó alimentos y pidió perdón por la conducta ofensiva de su esposo Nabal.,Su intervención impidió que el futuro rey derramara sangre innecesariamente.,Después de la muerte de Nabal se casó con David y fue madre de Kileab.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/1-samuel/25/#v3
teocratico-sostenible-abimelec,Abimélec,,A,empieza,teocratico,relato-biblico-infantil|sostenible,1,Hijo de Gedeón que quiso gobernar como rey.,Mató a casi todos sus hermanos sobre una misma piedra para obtener poder.,Jotán denunció su ambición mediante la parábola de los árboles y la zarza.,Una mujer le fracturó el cráneo arrojando una piedra de molino desde Tebez.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/jueces/9/#v6
teocratico-sostenible-absalon,Absalón,,A,empieza,teocratico,relato-biblico-infantil|sostenible,1,Hijo de David conocido por su abundante cabellera.,Robó el corazón de muchos israelitas y se proclamó rey contra su padre.,Quedó colgado de un árbol mientras huía y Joab lo mató pese a la orden de protegerlo.,David lloró amargamente al conocer la muerte del rebelde a quien todavía amaba.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/2-samuel/15/#v6
