id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueInfantil,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
teocratico-sostenible-familia,familia,,F,empieza,teocratico,relato-biblico-infantil|sostenible,1,"Personas unidas como padres, hijos y hermanos.","Grupo de personas emparentadas que comparten vínculos y, muchas veces, un hogar.",Unidad formada por parientes; Noé entró en el arca acompañado por la suya.,El Diluvio no separó a los ocho que compartían parentesco y obediencia.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/genesis/7/#v1
teocratico-sostenible-fe,fe,,F,empieza,teocratico,relato-biblico-infantil|sostenible,1,Confiar de verdad en Jehová y en lo que promete.,Confianza firme en Dios aunque todavía no veamos lo prometido.,Cualidad que impulsó a Abrahán a obedecer y esperar el cumplimiento de las promesas divinas.,Hebreos 11 la define mediante realidades esperadas pero aún invisibles.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/hebreos/11/#v1
teocratico-sostenible-fruto,fruto,,F,empieza,teocratico,relato-biblico-infantil|sostenible,1,Parte de una planta que suele tener semillas y que muchas veces se come.,Producto de una planta que se desarrolla después de la flor.,Resultado vegetal que puede alimentar y contener la semilla de una nueva planta.,En Edén abundaba en los árboles; uno quedó fuera del permiso dado a la primera pareja.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/genesis/1/#v11
teocratico-sostenible-flecha,flecha,,F,empieza,teocratico,relato-biblico-infantil|sostenible,1,Palo fino con punta que se dispara con un arco.,"Proyectil lanzado con un arco, usado para cazar o combatir.",Arma ligera cuya dirección permitió a Jonatán enviarle una señal secreta a David.,Tres disparos y la posición indicada a un muchacho comunicaron si el hijo de Jesé debía escapar.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/1-samuel/20/#v36
teocratico-sostenible-fuerza,fuerza,,F,empieza,teocratico,relato-biblico-infantil|sostenible,1,"Poder para levantar algo, trabajar o hacer una tarea difícil.",Capacidad física o interior para actuar y resistir.,Energía extraordinaria que Sansón recibió de Dios y empleó contra los filisteos.,Dalila quiso descubrir el secreto de aquello que hacía invencible al juez nazareo.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/jueces/16/#v6
teocratico-sostenible-fuente,fuente,,F,empieza,teocratico,relato-biblico-infantil|sostenible,1,Lugar de la tierra de donde sale agua.,Manantial natural del que brota agua del suelo.,Punto de agua que podía salvar la vida de viajeros y rebaños en regiones secas.,Un ángel encontró a Agar junto a una de camino a Sur.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/genesis/16/#v7
teocratico-sostenible-flor,flor,,F,empieza,teocratico,relato-biblico-infantil|sostenible,1,Parte colorida y bonita que nace en muchas plantas.,Estructura de una planta que suele tener pétalos y producir semillas.,Elemento vegetal de corta duración que Jesús presentó como ejemplo de belleza bien vestida por Dios.,Ni el esplendor de Salomón igualó el atuendo que reciben estas creaciones del campo.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/mateo/6/#v28
teocratico-sostenible-fiesta,fiesta,,F,empieza,teocratico,relato-biblico-infantil|sostenible,1,Día especial en que muchas personas se reúnen y celebran.,Celebración organizada por un acontecimiento o una fecha importante.,Ocasión religiosa a la que las familias israelitas acudían para adorar y alegrarse juntas.,"José y María viajaban anualmente a Jerusalén para la Pascua, una celebración de esta clase.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/lucas/2/#v41
teocratico-sostenible-felipe,Felipe,,F,empieza,teocratico,relato-biblico-infantil|sostenible,1,Discípulo que ayudó a un viajero de Etiopía a entender la Biblia.,Evangelizador cristiano que predicó al funcionario etíope y lo bautizó.,"Hombre dirigido por un ángel al camino de Gaza, donde explicó una profecía de Isaías.","Corrió junto a un carro, comenzó con el pasaje leído y anunció las buenas noticias acerca de Jesús.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/hechos/8/#v26
teocratico-sostenible-felix,Félix,,F,empieza,teocratico,relato-biblico-infantil|sostenible,1,Gobernador que escuchó a Pablo cuando estaba preso.,Gobernador romano ante quien Pablo se defendió en Cesarea.,"Funcionario que oyó hablar a Pablo sobre justicia y autocontrol, pero esperó recibir dinero de él.",Drusila estaba a su lado cuando el apóstol habló del juicio venidero y lo llenó de temor.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/hechos/24/#v24
teocratico-sostenible-festo,Festo,,F,empieza,teocratico,relato-biblico-infantil|sostenible,1,Gobernador que oyó a Pablo después de Félix.,Funcionario romano ante quien Pablo apeló a César.,Sucesor de Félix que consultó al rey Agripa sobre cómo presentar el caso del apóstol.,Consideró irrazonable enviar un preso a Roma sin indicar claramente los cargos.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/hechos/25/#v9
teocratico-sostenible-febe,Febe,,F,empieza,teocratico,relato-biblico-infantil|sostenible,1,Cristiana bondadosa que ayudó a muchos hermanos.,Ministra de la congregación de Cencreas a quien Pablo recomendó.,Mujer fiel mencionada al comienzo de los saludos finales de Romanos como defensora de muchos.,Los cristianos de Roma debían recibirla en el Señor y darle cualquier ayuda necesaria.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/romanos/16/#v1
teocratico-sostenible-filemon,Filemón,,F,empieza,teocratico,relato-biblico-infantil|sostenible,1,Cristiano que recibió una carta de Pablo sobre Onésimo.,Discípulo a quien Pablo pidió que acogiera con cariño a un esclavo arrepentido.,Destinatario de una breve carta inspirada en la que se destaca el perdón entre hermanos.,El apóstol se ofreció a pagarle cualquier deuda del hombre al que llamó su hijo.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/filemon/1/#v1
